model,iteration,RMSE,bagging_fraction,bagging_freq,feature_fraction,learning_rate,max_depth,min_child_samples,min_child_weight,min_split_gain,num_leaves,subsample
LGBM,41,7186339.677064108,0.8176594576266412,3.0,0.4922076096182147,0.003253732601856029,8.0,110.0,0.05455169897783732,0.04277164013004253,120.0,0.9354301358477806
LGBM,3,7186371.450997165,0.8032355989078243,4.0,0.7879978798081366,0.009888640741825175,10.0,160.0,0.01720532547740654,0.03576270476367596,98.0,0.6520272695917568
LGBM,99,7187032.052733964,0.8972354566150135,2.0,0.8196590560928012,0.002598191274522875,9.0,108.0,0.030499528266063686,0.07446323803365006,82.0,0.8588669864961542
LGBM,33,7187742.276703854,0.8147289443568244,2.0,0.3523308048943973,0.0036321424619283516,4.0,108.0,0.01734357391941104,0.0729283375376716,108.0,0.7560726081602712
LGBM,36,7187888.368605242,0.7180138073510784,1.0,0.6944343565118163,0.004584856855732607,3.0,118.0,0.055190162234548694,0.08377332057681405,56.0,0.8525983265777947
LGBM,29,7187961.858492204,0.8866218746761994,1.0,0.23474803288093493,0.008634061063426608,5.0,150.0,0.0125380830955147,0.07976691263383624,104.0,0.828464573141168
LGBM,91,7187997.654442212,0.9383467955724434,3.0,0.26534788053353814,0.004304872155418287,10.0,96.0,0.037783618127737485,0.03346935840020712,114.0,0.8827422897315115
LGBM,6,7188464.961521513,0.7899019182465332,1.0,0.6238440417356296,0.005048721416955198,3.0,182.0,0.0688504839983175,0.07538334279681595,34.0,0.9521310518117605
LGBM,61,7188974.132837028,0.8214325812954479,1.0,0.34830203750126415,0.006143948239405453,5.0,194.0,0.024925921317812905,0.049779620379929924,78.0,0.805407018726896
LGBM,95,7190634.898185698,0.8098345405971205,3.0,0.41179862928076216,0.0048018409394744825,4.0,98.0,0.023403162731685856,0.09389285890047318,122.0,0.9532950596527054
LGBM,87,7191427.59421595,0.7914513742423718,2.0,0.4744987414007479,0.00290179494173674,8.0,114.0,0.01704227749796134,0.04666859909652427,30.0,0.8305980537098709
LGBM,18,7192844.676735633,0.7437658623642274,3.0,0.6101603974189354,0.005066504629126598,5.0,102.0,0.08659264571038056,0.02352557978407285,96.0,0.8144196915953552
LGBM,92,7193191.969451091,0.8219472410225862,2.0,0.6243510764479098,0.003902956908284157,5.0,104.0,0.04245464168256576,0.09733533578949531,58.0,0.9429185743528614
LGBM,46,7193370.312072191,0.8067704697348265,1.0,0.5378923591439112,0.009475273241453187,5.0,154.0,0.026611172530842025,0.052063049223144024,112.0,0.9451227337616309
LGBM,0,7194428.188709557,0.9865685116016902,3.0,0.20049816457218145,0.007841782801657232,4.0,180.0,0.051322520919135736,0.03801088663801665,72.0,0.906682085494082
LGBM,62,7195296.999746679,0.7859161591022172,2.0,0.4022154168949741,0.003387985624421169,6.0,178.0,0.08927905548545945,0.08248653029072464,18.0,0.9869029339165523
LGBM,64,7195600.027074567,0.7334344447155002,4.0,0.5520100867081204,0.0069914390845993695,3.0,128.0,0.032800948957786805,0.07346442214627488,128.0,0.8752852008460119
LGBM,71,7198013.758145521,0.802127899937611,1.0,0.46197123471427654,0.004282304666478899,4.0,122.0,0.049585867298246086,0.08032860651655957,92.0,0.8403823330443212
LGBM,7,7198599.512311772,0.9537953796065296,4.0,0.5753338895464692,0.0052948897334786455,9.0,130.0,0.054751588624654096,0.05431660405724943,18.0,0.7027354188413062
LGBM,40,7198823.66067075,0.7708061232475111,3.0,0.2619347235458762,0.005872001208039737,4.0,126.0,0.06194204020371408,0.07521199707584321,96.0,0.9692821637151265
LGBM,4,7199512.157950914,0.9963877709518245,2.0,0.4040287895273997,0.007380481906405265,9.0,104.0,0.023395395997810108,0.021638493636522513,64.0,0.7823250664221819
LGBM,17,7200376.066767534,0.9427243226439005,4.0,0.5013215325430251,0.007677935044974855,4.0,186.0,0.07559955814910954,0.02471163993578241,74.0,0.9778545986282523
LGBM,35,7202072.840597838,0.8619582405217158,2.0,0.33580133166075543,0.009434764504285062,7.0,100.0,0.028149792083307736,0.04705638103048879,82.0,0.8081197084601485
LGBM,31,7202160.947191422,0.9189595802471267,2.0,0.4665428147537616,0.0034935066563679686,6.0,100.0,0.024352533282341965,0.06883723468574013,88.0,0.8931313620334345
LGBM,5,7203713.263047352,0.8104518133235876,4.0,0.7831747352538152,0.006195857009396314,7.0,200.0,0.084029231238202,0.037813298936731556,14.0,0.8350657902678936
LGBM,56,7204646.73741251,0.7746644090463277,2.0,0.4381201577814512,0.00993422949710063,8.0,142.0,0.0805163580735488,0.09983007638448443,122.0,0.8176858954203869
LGBM,43,7204959.497420416,0.8297579951353199,1.0,0.7587555269599883,0.006556223627550043,4.0,96.0,0.034430270058234146,0.08600444510985158,38.0,0.7319598097626439
LGBM,16,7206416.564788182,0.7527433350396511,2.0,0.5519301644397494,0.008376460086533435,5.0,124.0,0.09295787419847373,0.026035492520716352,14.0,0.6364070598703941
LGBM,54,7206723.782365473,0.7968014538932907,2.0,0.5757662093060762,0.003754683729975306,6.0,106.0,0.03908839230435011,0.08991030753751388,72.0,0.7466764376809706
LGBM,14,7207209.579841122,0.973416998953343,1.0,0.7306749273596289,0.007025935834449375,7.0,106.0,0.030887172482467348,0.047032907737042925,24.0,0.651072102817131
LGBM,50,7207456.545569926,0.7604773908459938,3.0,0.8416176818811187,0.002500473018832856,5.0,90.0,0.0649775795888371,0.08222695826503656,84.0,0.9957889750988449
LGBM,13,7208081.045635621,0.8375384470834718,4.0,0.5820578538274361,0.005814976693190181,4.0,114.0,0.0691972481971192,0.012849590036445523,62.0,0.8591370522828636
LGBM,49,7210406.120260831,0.9994550601765635,1.0,0.48219159763180985,0.005555941623437836,4.0,126.0,0.047599559832854875,0.015725323031547965,64.0,0.7910212276286761
LGBM,84,7212104.736847165,0.7240084882631739,3.0,0.8945462942506213,0.005172783544916727,7.0,120.0,0.028616629098019312,0.09628088280202023,106.0,0.7384486162800481
LGBM,57,7220787.9646586245,0.8465015374087594,3.0,0.5154840451483197,0.00901825619424558,3.0,90.0,0.07252908155534343,0.07025411887109373,8.0,0.9184032159953683
LGBM,11,7225740.781514922,0.9656793516434699,4.0,0.5229651343568023,0.00666314701220729,6.0,140.0,0.06036863349384491,0.03786434482363951,102.0,0.7577510273382291
